Position,Track_Name,Artist,Streams,URL,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
29,LIGHTSKIN SH*T (feat. Future & jetsonmade),DaBaby,546253,16oi4OiKmkO51l60F5R9kR,0.932,0.578,-4.478,0.366,0.115,0,0.115,0.623,129.991,111173
30,Adore You,Harry Styles,544976,3jjujdWJ72nww5eGnfs2E7,0.676,0.771,-3.675,0.0483,0.0237,7.00E-06,0.102,0.569,99.048,207133
31,P2,Lil Uzi Vert,542748,3kW4z2pIj5VY5fLjBrMRL5,0.775,0.72,-5.353,0.193,0.0236,0,0.114,0.49,155.086,234627
32,Myron,Lil Uzi Vert,537477,56uXDJRCuoS7abX3SkzHKQ,0.77,0.655,-6.976,0.296,0.0537,0,0.215,0.584,155.039,224955
33,Dance Monkey,Tones And I,527857,1rgnBhdG2JDFTbYkYRZAku,0.825,0.593,-6.401,0.0988,0.688,0.000161,0.17,0.54,98.078,209755
34,CAN'T STOP,DaBaby,514665,57crda5Lx9OVaYCzb4Wrnd,0.734,0.706,-5.833,0.323,0.032,0,0.373,0.844,139.712,168373
35,Ballin' (with Roddy Ricch),Mustard,508397,3QzAOrNlsabgbMwlZt7TAY,0.809,0.545,-6.678,0.0735,0.392,0,0.151,0.244,97.008,180435
36,In Your Eyes,The Weeknd,497202,7szuecWAPwGoV1e5vGu8tl,0.667,0.719,-5.371,0.0346,0.00285,8.10E-05,0.0736,0.717,100.021,237520
37,Godzilla (feat. Juice WRLD),Eminem,481443,7FIWs0pqAYbP91WWM0vlTQ,0.808,0.745,-5.26,0.342,0.145,0,0.292,0.829,165.995,210800
38,SAD SH*T,DaBaby,474668,6ChpgWt7s2ksM1Y3l0D9sk,0.842,0.474,-8.851,0.396,0.228,0,0.395,0.598,124.897,217467
39,DROP (feat. A Boogie wit da Hoodie & London On Da Track),DaBaby,468421,5rFGVn8fCFjnRwCebW0XbS,0.832,0.595,-6.415,0.234,0.134,0,0.301,0.54,96.423,149613
40,TALK ABOUT IT,DaBaby,467732,3QSLoxRguKgK0knOG7EGyn,0.954,0.635,-5.597,0.298,0.00227,0,0.118,0.437,123.978,159093
41,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,464607,0RiRZpuVRbi7oqRdSMwhQY,0.755,0.522,-4.368,0.0575,0.533,0,0.0685,0.925,89.96,157560
42,Suicidal (Remix) [feat. Juice WRLD],YNW Melly,463667,4S2uhQE8L9V6p7rj7SiauJ,0.655,0.441,-5.245,0.0629,0.474,0,0.099,0.273,139.957,225857
43,BOP,DaBaby,460013,6Ozh9Ok6h4Oi1wUSLtBseN,0.769,0.787,-3.909,0.367,0.189,0,0.129,0.836,126.77,159715
44,PTSD,G Herbo,455406,3jT2LKH0RSbQ8jIUNFzXm5,0.883,0.808,-3.158,0.183,0.0317,0,0.207,0.805,119.012,232065
45,That Way - Bonus Track,Lil Uzi Vert,454651,2ajzBr7vwHTEBeqDzcsNRC,0.712,0.599,-5.368,0.0388,0.0554,0,0.154,0.503,130.007,212354
46,Someone You Loved,Lewis Capaldi,449801,7qEHsqek33rTcFNT9PFqLf,0.501,0.405,-5.679,0.0319,0.751,0,0.105,0.446,109.891,182161
47,hot girl bummer,blackbear,439295,7aiClxsDWFRQ0Kzk5KI5ku,0.778,0.559,-7.109,0.0776,0.128,0,0.399,0.678,129.989,185093
48,More Than My Hometown,Morgan Wallen,435248,6FniJZn4agmDtPx1pKZQsa,0.621,0.882,-5.01,0.0459,0.601,0,0.132,0.573,126.023,216573
49,CHAMPION,DaBaby,430119,19eeh4pgEGHdSTc26U1y89,0.819,0.52,-6.097,0.399,0.0594,0,0.116,0.537,145.058,132813
50,After Party,Don Toliver,428478,527k23H0A4Q0UJN3vGs0Da,0.629,0.692,-8.045,0.0376,0.00981,0.328,0.603,0.453,162.948,167916
51,Boss Bitch,Doja Cat,426439,78qd8dvwea0Gosb6Fe6j3k,0.707,0.955,-4.593,0.222,0.127,0,0.202,0.575,125.989,134240
52,Break My Heart,Dua Lipa,423580,017PF4Q3l4DBUiWoXk4OWT,0.73,0.729,-3.434,0.0886,0.167,1.39E-06,0.349,0.467,113.012,221820
53,Lucid Dreams,Juice WRLD,420053,285pBltuF7vW8TeWk8hdRR,0.511,0.566,-7.23,0.2,0.349,0,0.34,0.218,83.903,239836
54,Level of Concern,Twenty One Pilots,418496,6xZ4Q2k2ompmDppyeESIY8,0.754,0.583,-7.34,0.0432,0.32,0.00015,0.144,0.77,122.012,220051
55,Broke In A Minute,Tory Lanez,417636,4xqIYGwwZTEem9U8A42SPF,0.929,0.7,-5.595,0.0906,0.144,0,0.349,0.802,120.009,132024
56,NASTY (feat. Ashanti & Megan Thee Stallion),DaBaby,417316,3oHiR89Y8gn6xt3YGAAzFj,0.753,0.621,-5.045,0.192,0.0284,0,0.291,0.596,160.998,215053
57,Bandit (with YoungBoy Never Broke Again),Juice WRLD,409211,6Gg1gjgKi2AK4e0qzsR7sd,0.474,0.631,-5.884,0.343,0.0687,0,0.132,0.425,180.051,189323
58,Yo Perreo Sola,Bad Bunny,409164,0SqqAgdovOE24BzxIClpjw,0.86,0.758,-5.16,0.0695,0.021,6.54E-05,0.344,0.453,97.014,172127
59,Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake),Lil Yachty,408041,7wsmIIm0xWmtP7TmACXkJn,0.836,0.617,-4.363,0.0534,0.17,0,0.319,0.866,138.066,206702
